name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Mineko Iwasaki,female,1949-11-02,Japan,Kyoto
Michael Chabon,male,1963-05-24,United States of America,
Pasqual Ferry,male,1961-03-24,Spain,Barcelona
Barron Storey,male,1940-04-06,United States of America,Dallas
Martha Grimes,female,1931-05-02,United States of America,Pittsburgh
Julie Garwood,female,1946-12-26,United States of America,Kansas City
James Dickey,male,1923-02-02,United States of America,Atlanta
Ntozake Shange,female,1948-10-18,United States of America,Trenton
Libba Bray,female,1964-03-11,United States of America,Texas
Patricia Highsmith,female,1921-01-19,United States of America,Fort Worth
Ben Aaronovitch,male,1964-02-00,United Kingdom,"Greater London, London Borough of Camden"
Eric Van Lustbader,male,1946-12-24,United States of America,Greenwich Village
Diane Mott Davidson,female,1949-03-22,United States of America,Charlottesville
Louise Fitzhugh,female,1928-10-05,United States of America,Memphis
Paula McLain,female,1965-10-07,United States of America,Fresno
Don Williams,male,1939-05-27,United States of America,Floydada
Margaret Bloy Graham,female,1920-11-02,Canada,Toronto
Andy Warhol,male,1928-08-06,United States of America,Pittsburgh
Richard Howard,male,1929-10-13,United States of America,Cleveland
Michael Patrick MacDonald,male,1966-03-09,United States of America,New York City
Don Freeman,male,1908-08-11,United States of America,San Diego
Fiona Staples,female,1950-00-00,Canada,Alberta
David Heinemeier Hansson,male,1979-10-15,Denmark,Copenhagen
Ardian Syaf,male,1980-01-01,India,Tulungagung
Charlie LeDuff,male,1966-04-01,United States of America,Portsmouth
Sharyn McCrumb,female,1948-02-26,United States of America,Wilmington
Keith David,male,1956-06-04,United States of America,New York City
Ian McKellen,male,1939-05-25,United Kingdom,Burnley
Christian Rudder,male,1975-09-01,United States of America,Little Rock
John Boyne,male,1971-04-30,Ireland,Dublin
Larry Niven,male,1938-04-30,United States of America,Los Angeles
Frederik Pohl,male,1919-11-26,United States of America,New York City
Adrian Conan Doyle,male,1910-11-19,"United Kingdom, United Kingdom of Great Britain and Ireland",United Kingdom
Dudley Fitts,male,1903-04-28,United States of America,Boston
Meg Rosoff,female,1956-10-16,United States of America,Boston
Melina Marchetta,female,1965-03-25,Australia,Sydney
Homi K. Bhabha,male,1949-01-01,India,Mumbai
Terry Goodkind,male,"1948-05-01, 1948-01-11, 1948-01-14",United States of America,Omaha
Steven Weinberg,male,1933-05-03,United States of America,New York City
Guy Gavriel Kay,male,1954-11-07,Canada,Weyburn
Daniel Kahneman,male,1934-03-05,"Israel, United States of America",Tel Aviv
Dava Sobel,female,1947-06-15,United States of America,The Bronx
Tan Twan Eng,male,1972-01-01,Malaysia,Penang
Rodman Philbrick,male,1951-01-01,United States of America,Boston
Raymond Carver,male,1938-05-25,United States of America,Clatskanie
Richard Eyre,male,1943-03-28,United Kingdom,Barnstaple
Marguerite Henry,female,1902-04-13,United States of America,Milwaukee
Albert Camus,male,1913-11-07,France,Dréan
Jim Fergus,male,1950-03-23,United States of America,Chicago
Bob Ong,male,1972-01-01,Philippines,Manila
Liz Kessler,female,1966-10-15,United Kingdom,England
Anthony Hope,male,1863-02-09,"United Kingdom, United Kingdom of Great Britain and Ireland",London
David Small,male,1945-02-12,United States of America,Detroit
Christopher Lee,male,1922-05-27,United Kingdom,Belgravia
Julie Maroh,female,"1985-01-01, 1985-09-01, 1985-09-06",France,Lens
Michio Kaku,male,1947-01-24,United States of America,San Jose
Michael Ondaatje,male,1943-09-12,Canada,Colombo
Darren Aronofsky,male,1969-02-12,United States of America,Brooklyn
Jackie Collins,female,1937-10-04,"United Kingdom, United States of America",Hampstead
Hajime Isayama,male,1986-08-29,Japan,Hita
John Lennon,male,1940-10-09,United Kingdom,"Liverpool, Liverpool Maternity Hospital"
André Maurois,male,1885-07-26,France,Elbeuf
Sheila Turnage,female,1950-01-01,United States of America,Jacksonville
Andrew Aydin,male,1983-08-25,United States of America,Atlanta
John R. Perry,male,1899-05-24,United States of America,Waco
Ludwig Bemelmans,male,1898-04-27,"Germany, United States of America, Austria",Merano
Jonathan Haidt,male,1963-10-19,United States of America,New York City
Seamus Heaney,male,1939-04-13,Ireland,Castledawson
Walter Dean Myers,male,1937-08-12,United States of America,Martinsburg
Ina Garten,female,1948-02-02,United States of America,Brooklyn
Deborah Ellis,female,1960-08-07,Canada,Cochrane
Raditya Dika,male,1984-12-28,Indonesia,Jakarta
Dick Giordano,male,1932-07-20,United States of America,Manhattan
Kiyohiko Azuma,male,1968-05-27,Japan,Takasago
Kim Edwards,female,1958-05-04,United States of America,Killeen
Dorothy Allison,female,1949-04-11,United States of America,Greenville
Sam Smith,non-binary,1992-05-19,United Kingdom,London
Anne Lamott,female,1954-04-10,United States of America,San Francisco
Chris Bachalo,male,1965-08-23,Canada,Portage la Prairie
Mike Mignola,male,1960-09-16,United States of America,Berkeley
Nicole Krauss,female,1974-08-18,United States of America,Manhattan
Nassim Nicholas Taleb,male,1960-09-11,"Lebanon, United States of America",Amioun
Jack Welch,male,1935-11-19,United States of America,Peabody
Bernhard Schlink,male,1944-07-06,Germany,Bielefeld
Naomi Wolf,female,1962-11-12,United States of America,San Francisco
Sandra Gulland,female,1944-11-03,United States of America,Miami
Philip José Farmer,male,1918-01-26,United States of America,Terre Haute
Keith Richards,male,1943-12-18,United Kingdom,Dartford
George Orwell,male,1903-06-25,"United Kingdom, United Kingdom of Great Britain and Ireland",Motihari
Miriam Toews,female,1964-05-21,Canada,Steinbach
Ahlam Mosteghanemi,female,1953-04-13,Algeria,Tunis
Loung Ung,female,1970-04-17,"Cambodia, United States of America",Phnom Penh
Lev Grossman,male,1969-06-26,United States of America,Lexington
Chris Colfer,male,1990-05-27,United States of America,Clovis
Henryk Sienkiewicz,male,1846-05-05,"Russian Empire, Poland",Wola Okrzejska
Betty Friedan,female,1921-02-04,United States of America,Peoria
Jenny Offill,female,1968-01-01,United States of America,Massachusetts
Tahereh Mafi,female,1988-11-09,United States of America,Connecticut
Robert Anton Wilson,male,1932-01-18,United States of America,Flatbush
James Agee,male,1909-11-27,United States of America,Knoxville
Trudi Canavan,female,1969-10-23,Australia,Melbourne
Mike Birbiglia,male,1978-06-20,United States of America,Shrewsbury
Barbara W. Tuchman,female,1912-01-30,United States of America,New York City
Michael Baigent,male,1948-02-27,"New Zealand, United Kingdom",Nelson
Margaret Peterson Haddix,female,1964-04-09,United States of America,Washington Court House
Jean-Dominique Bauby,male,1952-04-23,France,14th arrondissement of Paris
