name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
Isaac Kramnick,male,1938-03-06,United States of America,Worcester
Nigella Lawson,female,1960-01-06,United Kingdom,London
Arturo Pérez-Reverte,male,"1951-11-25, 1951-11-24",Spain,Cartagena
Paramahansa Yogananda,male,1893-01-05,"British India, India, Dominion of India",Gorakhpur
Takeshi Obata,male,1969-02-11,Japan,Niigata
Scott O'Dell,male,1898-05-23,United States of America,Los Angeles
Giuseppe Tomasi di Lampedusa,male,1896-12-23,"Italy, Kingdom of Italy",Palermo
Louisa May Alcott,female,1832-11-29,United States of America,Germantown
Linda Castillo,female,1960-00-00,United States of America,Ohio
Michelle Alexander,female,1967-10-07,United States of America,United States of America
Dietrich Bonhoeffer,male,1906-02-04,Germany,Wrocław
Kendare Blake,female,1981-00-00,South Korea,Seoul
Bob Kane,male,1915-10-24,United States of America,New York City
Alan Brennert,male,1954-05-30,United States of America,Englewood
Roderick Gordon,male,1960-11-01,United Kingdom,London
Lisa Scottoline,female,1955-07-01,United States of America,Philadelphia
Brian Mooney,male,1966-02-02,Ireland,Dublin
Ernesto Sabato,male,1911-06-24,"Argentina, Spain",Rojas
Jessica Shirvington,female,1979-04-15,Australia,Sydney
Thomas Keneally,male,1935-10-07,Australia,Sydney
Alafair Burke,female,1969-10-16,United States of America,Fort Lauderdale
Tim LaHaye,male,1926-04-27,United States of America,Detroit
Julia Quinn,female,1970-01-01,United States of America,Washington
Tayeb Salih,male,1929-07-12,Sudan,"Sudan, Al Dabbah"
Jeph Loeb,male,1958-01-29,United States of America,Stamford
Bruce Coville,male,1950-05-16,United States of America,Syracuse
Janet Evanovich,female,1943-04-22,United States of America,South River
Tatiana de Rosnay,female,1961-09-28,"England, France",Seine
Tomie dePaola,male,1934-09-15,United States of America,Meriden
E. Nesbit,female,1858-08-15,"United Kingdom of Great Britain and Ireland, England",London
Donna Leon,female,1942-09-28,"United States of America, Switzerland",Montclair
Keri Smith,female,2000-01-01,Canada,Canada
Kass Morgan,female,1984-07-21,United States of America,New York City
Daniel Clowes,male,1961-04-14,United States of America,Chicago
Jules Verne,male,1828-02-08,France,Nantes
Ellen Raskin,female,1928-03-13,United States of America,Milwaukee
Linwood Barclay,male,1955-01-01,United States of America,Darien
Veronica Roth,female,1988-08-19,United States of America,New York City
Robert Fitzgerald,male,1910-10-12,United States of America,Geneva
Ai Yazawa,female,1967-03-07,Japan,Ōsaka
Mordicai Gerstein,male,1935-11-24,United States of America,Los Angeles
Tite Kubo,male,"1977-06-23, 1977-06-26",Japan,Fuchū
James Lee Burke,male,1936-12-05,United States of America,Houston
Nella Larsen,female,"1891-04-13, 1891-04-14",United States of America,Chicago
Patrick deWitt,male,1975-01-01,Canada,Vancouver Island
Amy Poehler,female,1971-09-16,United States of America,Newton
Matt Fraction,male,1975-12-01,United States of America,Chicago Heights
Arthur Conan Doyle,male,1859-05-22,"United Kingdom of Great Britain and Ireland, United Kingdom",Edinburgh
Chris Kyle,male,1974-04-08,United States of America,Odessa
Lauren Child,female,1965-11-29,United Kingdom,Marlborough
Sarah Mlynowski,female,1977-01-04,Canada,Montreal
Greg McKeown,male,1957-01-01,United States of America,United States of America
Anaïs Nin,female,1903-02-21,France,Seine
Conn Iggulden,male,1971-01-01,United Kingdom,London
Chaim Potok,male,1929-02-17,United States of America,The Bronx
Eleanor Roosevelt,female,1884-10-11,United States of America,Manhattan
Amor Towles,male,1964-10-24,United States of America,Boston
Simon Sinek,male,1973-10-09,United Kingdom,Wimbledon
John Verdon,male,1942-01-01,United States of America,New York City
Louis-Ferdinand Céline,male,1894-05-27,France,Courbevoie
Jostein Gaarder,male,1952-08-08,Norway,Oslo
Brian Selznick,male,1966-07-14,United States of America,East Brunswick
E. Lockhart,female,1967-09-13,United States of America,New York City
Gary Smalley,male,1940-09-16,United States of America,Boise
Peter Snejbjerg,male,1963-01-01,Denmark,Copenhagen
Gerry Alanguilan,male,1968-01-20,Philippines,San Pablo
Gregory Rabassa,male,1922-03-09,United States of America,Yonkers
Jenny Downham,female,1964-01-01,United Kingdom,Greater London
Sally Jenkins,female,1960-10-22,United States of America,Fort Worth
Kelly McGonigal,female,1977-10-21,United States of America,Philadelphia
Thomas Frank,male,1965-03-21,United States of America,Kansas City
Daniel O'Malley,male,1950-01-01,Australia,Canberra
Andrew Ross Sorkin,male,1977-02-19,United States of America,New York City
Jim Bouton,male,1939-03-08,United States of America,Newark
Salvatore Murdocca,male,1943-04-26,United States of America,Brooklyn
Darrell Schweitzer,male,1952-08-27,United States of America,Woodbury
Martin Gardner,male,1914-10-21,United States of America,Tulsa
William T. Vollmann,male,1959-07-28,United States of America,Los Angeles
Paul Auster,male,1947-02-03,United States of America,Newark
Seamus Deane,male,1940-02-09,United Kingdom,Derry
David Hume,male,"1711-05-07, 1711-04-26",Great Britain,Edinburgh
Joanne Greenberg,female,1932-09-24,United States of America,Brooklyn
Jane Hamilton,female,1957-07-13,United States of America,Oak Park
Ludwig Wittgenstein,male,1889-04-26,"United Kingdom, Austria",Vienna
Keigo Higashino,male,1958-02-04,Japan,ku
Rachael Ray,female,1968-08-25,United States of America,Glens Falls
Daniel H. Wilson,male,1978-03-06,United States of America,Tulsa
William H. Armstrong,male,1911-09-14,United States of America,Lexington
Joachim Neugroschel,male,1938-01-13,United States of America,Vienna
Peter Matthiessen,male,1927-05-22,United States of America,New York City
Michael Moss,male,1955-12-16,United States of America,Eureka
Alice Munro,female,"1931-07-10, 1931-01-01",Canada,Wingham
Caroline Myss,female,1952-12-02,United States of America,Chicago
Del Roy,male,1911-11-07,United States of America,Philadelphia
Nate Powell,male,1978-01-01,United States of America,Little Rock
Fannie Flagg,female,1944-09-21,United States of America,Birmingham
Matt Haig,male,1975-07-03,United Kingdom,Sheffield
David Guterson,male,1956-05-04,United States of America,Seattle
Philip Larkin,male,1922-08-09,United Kingdom,Coventry
Alain de Botton,male,1969-12-20,"Switzerland, United Kingdom",Zürich
David Levithan,male,1972-09-07,United States of America,Short Hills
Steve Oliff,male,1954-02-20,United States of America,United States of America
Ian Rankin,male,1960-04-28,United Kingdom,Cardenden
Emma Straub,female,2000-01-01,United States of America,Brooklyn
Michael Frayn,male,1933-09-08,United Kingdom,London
Susan Abulhawa,female,"1967-01-01, 1970-06-03","United States of America, State of Palestine",Kuwait
L.A. Weatherly,female,1967-01-01,United States of America,Little Rock
Louis Darling,male,1916-04-26,United States of America,Stamford
Sheila Burnford,female,1918-05-11,United Kingdom,Scotland
Ron Chernow,male,1949-03-03,"United States of America, Mexico",Brooklyn
Jack Kerouac,male,"1922-03-12, 1922-03-13",United States of America,Lowell
Knut Hamsun,male,1859-08-04,Norway,"Vågå, Lom, Gudbrandsdalen"
Thomas Pynchon,male,1937-05-08,United States of America,Glen Cove
Caroline Knapp,female,1959-11-08,United States of America,Cambridge
Anthony Bourdain,male,1956-06-25,United States of America,New York City
Naomi Novik,female,1973-04-30,United States of America,New York City
Clifford D. Simak,male,1904-08-03,United States of America,Millville
Gigi Levangie Grazer,female,1963-01-02,United States of America,Los Angeles
William Makepeace Thackeray,male,1811-07-18,United Kingdom of Great Britain and Ireland,Kolkata
Jean Sasson,female,1947-07-04,United States of America,Troy
Ben Macintyre,male,1963-12-25,United Kingdom,England
Jonathan Harr,male,1948-01-01,United States of America,Beloit
Mildred Benson,female,1905-07-10,United States of America,Ladora
Sarah Pinborough,female,1972-01-01,United Kingdom,Milton Keynes
Eric Carle,male,1929-06-25,"United States of America, Germany",Syracuse
Ben Mezrich,male,1969-02-07,United States of America,Princeton
Joseph Stein,male,1912-05-30,United States of America,The Bronx
Louise Penny,female,1958-07-01,Canada,Toronto
Johann David Wyss,male,1743-05-28,Switzerland,Bern
Jon Stone,male,1931-04-13,United States of America,New Haven
John Grogan,male,1957-03-20,United States of America,Detroit
Annie Proulx,female,1935-08-22,United States of America,Norwich
M. Scott Peck,male,1936-05-23,United States of America,New York City
Hubert Selby Jr.,male,1928-07-23,United States of America,Brooklyn
George Saunders,male,1958-12-02,United States of America,Amarillo
Benjamin Alire Sáenz,male,1954-08-16,United States of America,Doña Ana County
Bill Clinton,male,1946-08-19,United States of America,Hope
Henri Charrière,male,1906-11-16,France,Lugdarès
Fred Marcellino,male,1939-10-25,United States of America,Brooklyn
Amy Myers,female,1938-08-03,United Kingdom,Barnehurst
Dan Simmons,male,1948-04-04,United States of America,Peoria
China Miéville,male,1972-09-06,United Kingdom,Norwich
Julia Scheeres,female,1967-01-01,United States of America,Lafayette
Richard Connell,male,1893-10-17,United States of America,Poughkeepsie
Paul Torday,male,1946-08-01,United Kingdom,County Durham
Eileen Wilks,female,1952-11-03,United States of America,Monahans
Yasunari Kawabata,male,1899-06-11,Japan,Ōsaka
Carrie Brownstein,female,1974-09-27,United States of America,Seattle
James Tynion IV,male,1987-12-14,United States of America,New York City
Nigel Calder,male,"1931-12-02, 1931-12-03",United Kingdom,Greater London
Jo Nesbø,male,1960-03-29,Norway,Oslo
Amy Plum,female,1967-03-12,"United States of America, France",Portland
Chris Tomlin,male,1972-05-04,United States of America,Grand Saline
Dian Fossey,female,1932-01-16,United States of America,San Francisco
Cece Bell,female,1970-01-01,United States of America,John Carradine
Joel Osteen,male,1963-03-05,United States of America,Houston
Éric-Emmanuel Schmitt,male,1960-03-28,"France, Belgium",Lyon
Raymond Briggs,male,1934-01-18,United Kingdom,Wimbledon
Constance Garnett,female,1861-12-19,"United Kingdom, United Kingdom of Great Britain and Ireland",Brighton
Cormac McCarthy,male,1933-07-20,United States of America,Providence
Alan Davis,male,1956-06-16,United Kingdom,United Kingdom
Peter Gay,male,1923-06-20,"Germany, United States of America",Berlin
Bisco Hatori,female,1975-08-30,Japan,Saitama
Allison Pearson,female,1960-07-22,United Kingdom,Carmarthen
James Strachey,male,1887-09-26,"United Kingdom, United States of America",London
Roxane Gay,female,1974-10-15,United States of America,Omaha
Ricardo Cortés,male,1980-01-24,Mexico,Michoacán
Daniel Handler,male,1970-02-28,United States of America,San Francisco
Amy Bloom,female,1953-06-18,United States of America,Great Neck
John Foxe,male,1516-01-01,"United Kingdom of Great Britain and Ireland, United Kingdom",Boston
Charles Vess,male,1951-06-10,United States of America,Lynchburg
Robert Muchamore,male,1972-12-26,United Kingdom,London
Alwyn Hamilton,female,1988-09-10,Canada,Toronto
Mary Hoffman,female,1945-04-20,United Kingdom,United Kingdom
Norman Doidge,male,1950-01-01,Canada,Toronto
Betty White,female,1922-01-17,United States of America,Oak Park
Edward Gorey,male,"1925-02-22, 1925-02-25",United States of America,Chicago
Robert Ludlum,male,1927-05-25,United States of America,New York City
Laurie Halse Anderson,female,1961-10-23,United States of America,Potsdam
Robert Sabuda,male,1965-03-08,United States of America,Wyandotte
Roddy Doyle,male,1958-05-08,Ireland,Dublin
Lisa Gardner,female,1971-00-00,United States of America,Hillsboro
Julia Donaldson,female,1948-09-16,United Kingdom,Greater London
Steve Perry,male,1949-01-22,United States of America,Hanford
James Frey,male,1969-09-12,United States of America,Cleveland
Lilith Saintcrow,female,1976-01-01,United States of America,New Mexico
Michael J. Fox,male,1961-06-09,"United States of America, Canada",Edmonton
Todd Klein,male,1951-01-28,United States of America,New Jersey
Carrie Fisher,female,1956-10-21,United States of America,Burbank
Edward Gibbon,male,"1737-04-27, 1737-05-08",Great Britain,Putney
Madeleine L'Engle,female,1918-11-29,United States of America,New York City
Joseph L. Galloway,male,1941-11-13,United States of America,Refugio
Stephen R. Lawhead,male,1950-07-02,United States of America,Kearney
Leslie Jamison,female,1983-00-00,United States of America,
Melanie Rawn,female,1954-06-12,United States of America,Santa Monica
Ken Grimwood,male,1944-02-27,United States of America,Dothan
Kurt Cobain,male,1967-02-20,United States of America,Aberdeen
Mario Puzo,male,1920-10-15,United States of America,New York City
John Updike,male,1932-03-18,United States of America,Reading
Tracy Kidder,male,1945-11-12,United States of America,New York City
Alan Lightman,male,1948-11-28,United States of America,Memphis
Frank E. Peretti,male,1951-01-13,United States of America,Lethbridge
Johann Wolfgang von Goethe,male,1749-08-28,Eisenach,Frankfurt am Main
Vernor Vinge,male,1944-10-02,United States of America,Waukesha
Seanan McGuire,['female,1978-01-05,United States of America,Martinez
Alfred Uhry,male,"1936-12-03, 1936-12-12",United States of America,Atlanta
Samantha Shannon,female,1991-11-08,United Kingdom,Hammersmith
Tony Hillerman,male,1925-05-27,United States of America,Pottawatomie County
David Simon,male,"1960-08-16, 1960-05-13",United States of America,
Melissa Nathan,female,1968-06-13,United Kingdom,Hertfordshire
Nick Hornby,male,1957-04-17,United Kingdom,Redhill
Rosalyn Landor,female,1958-10-07,United Kingdom,"London, Hampstead"
Anita Brookner,female,1928-07-16,United Kingdom,London
Isa Chandra Moskowitz,female,1973-02-03,United States of America,Brooklyn
Robert Henri,male,1865-06-24,United States of America,Cincinnati
Kaui Hart Hemmings,female,1975-01-01,United States of America,Hawaii
Andrew Clements,male,1949-05-29,United States of America,Camden
Brian Kilmeade,male,1964-05-07,United States of America,New York City
Bill Moyers,male,1934-06-05,United States of America,Hugo
Antony Beevor,male,1946-12-14,United Kingdom,Kensington
Bob Dylan,male,1941-05-24,United States of America,Duluth
Rob Reiner,male,1947-03-06,United States of America,The Bronx
Gregg Hurwitz,male,"1973-01-01, 1973-08-10",United States of America,San Francisco
Phil Robertson,male,1946-04-24,United States of America,Vivian
David Seltzer,male,1940-02-12,United States of America,Highland Park
Jane Werner Watson,female,1915-07-11,United States of America,Fond du Lac
Anne Michaels,female,1958-04-15,Canada,Toronto
Bryan Konietzko,male,"1975-06-01, 1976-05-26",United States of America,United States of America
Abbi Glines,female,1977-04-16,United States of America,Birmingham
Amish Tripathi,male,1974-10-18,India,Mumbai
Guillermo del Toro,male,1964-10-09,Mexico, Nochistlán Zacatecas
Eleanor Estes,female,1906-05-09,United States of America,West Haven
Gail Carson Levine,female,1947-09-17,United States of America,New York City
Rob Liefeld,male,1967-10-03,United States of America,Anaheim
Hope Larson,female,1982-09-17,United States of America,Asheville
Alessandro Baricco,male,1958-01-25,Italy,Turin
Stephen Gammell,male,1943-02-10,United States of America,Des Moines
Eric Metaxas,male,1963-06-27,United States of America,Astoria
Robert Graysmith,male,1942-09-17,United States of America,Pensacola
John Eldredge,male,1960-06-06,United States of America,Los Angeles
Chester Brown,male,1960-05-16,Canada,Montreal
Shaun Tan,male,1974-01-01,Australia,Fremantle
Dick King-Smith,male,1922-03-27,United Kingdom,Bitton
Kevin Hearne,male,1970-12-09,United States of America,Arizona
Truddi Chase,female,"1935-06-13, 1939-06-13",United States of America,Honeoye Falls
Gary Zukav,male,1942-10-17,United States of America,Port Arthur
Brendan Hay,male,1979-02-19,United States of America,United States of America
Irvine Welsh,male,1958-09-27,United Kingdom,Leith
Lloyd C. Douglas,male,1877-08-27,United States of America,Whitley County
Barack Obama,male,1961-08-04,United States of America,"Kapiolani Medical Center for Women and Children, Kenya"
Jean Craighead George,female,1919-07-02,United States of America,
Jojo Moyes,female,1969-08-04,United Kingdom,London
Neil Gaiman,male,1960-11-10,United Kingdom,Portchester
Annie Cohen-Solal,female,1948-01-01,France,Algiers
Daniel James Brown,male,1951-00-00,United States of America,Berkeley
Robert Shea,male,"1933-02-14, 1933-02-13",United States of America,New York City
Ha Jin,male,1956-02-21,"United States of America, s Republic of China",Jinzhou
Bob Goff,male,1959-02-22,United States of America,California
Young Kim,female,1962-10-18,United States of America,Incheon
Alice Schroeder,female,1956-12-14,United States of America,Dallas
Brady Udall,male,1971-00-00,United States of America, Johns
Robin Hobb,female,1952-03-05,United States of America,Berkeley
George Harrison,male,"1943-02-25, 1943-01-01",United Kingdom,Liverpool
Jessica Day George,female,1976-10-11,United States of America,Boise
William Weaver,male,1923-07-24,United States of America,
Nikolai Gogol,male,"1809-03-19, 1809-04-01, 1809-03-20, 1809-03-31",Russian Empire,Velyki Sorochyntsi
Lincoln Peirce,male,1963-10-23,United States of America,Iowa
Herman Koch,male,1953-09-05,Kingdom of the Netherlands,Arnhem
Max Lucado,male,1955-01-11,United States of America,San Angelo
Martin Aitken,male,1922-03-11,"United Kingdom, United Kingdom of Great Britain and Ireland",Stamford
Ann Brashares,female,1967-07-30,United States of America,Alexandria
Beryl Markham,female,1902-10-26,United Kingdom,Leicester
Rohinton Mistry,male,1952-07-03,Canada,Mumbai
Tori Amos,female,1963-08-22,United States of America,Newton
Stephen E. Ambrose,male,1936-01-10,United States of America,Decatur
Martha Stewart,female,1941-08-03,"United States of America, Poland",Jersey City
Keith Szarabajka,male,1952-12-02,United States of America,Oak Park
Gary D. Schmidt,male,1957-01-01,United States of America,Hicksville
Eiji Yoshikawa,male,"1892-08-11, 1892-01-01",Japan,Yokohama
Ally Carter,female,1974-01-01,United States of America,Oklahoma
Ottessa Moshfegh,female,1981-05-00,United States of America,Boston
Ed Emberley,male,1931-10-19,United States of America,Malden
William Landay,male,1963-07-01,United States of America,Boston
Cassandra Jean,female,1985-10-05,United States of America,Houston
Bev Vincent,male,1961-06-02,United States of America,New Brunswick
Henning Mankell,male,1948-02-03,Sweden,Stockholm
Diane Ackerman,female,1948-10-07,United States of America,Waukegan
Jerry Bridges,male,1929-12-04,United States of America,Tyler
Tom Clancy,male,1947-04-12,United States of America,Baltimore
Mary Roach,female,1959-03-20,United States of America,Etna
Charles Portis,male,1933-12-28,United States of America,El Dorado
Rob Sheffield,male,1966-02-02,United States of America,United States of America
Chapman Cohen,male,1868-09-01,"United Kingdom, United Kingdom of Great Britain and Ireland",Leicester
Hunter S. Thompson,male,1937-07-18,United States of America,Louisville
Andrzej Sapkowski,male,1948-06-21,Poland,Łódź
Hampton Sides,male,1962-01-01,United States of America,Memphis
Astrid Lindgren,female,1907-11-14,Sweden,Vimmerby
Alastair Reynolds,male,1966-03-13,"United Kingdom, Wales",Barry
Robert Jackson Bennett,male,1984-06-22,United States of America,Baton Rouge
Ian Doescher,male,1977-01-01,United States of America,Portland
Stephen R. Donaldson,male,1947-05-13,United States of America,Cleveland
Jennifer Donnelly,female,"1963-08-16, 1969-08-19",United States of America,Port Chester
Barbara Cooney,female,1917-08-06,United States of America,New York City
Carole Radziwill,female,1963-08-20,United States of America,New York
Monty Roberts,male,1935-05-14,United States of America,Salinas
Lisa Jewell,female,1968-07-19,United Kingdom,Middlesex Hospital
Frank Beddor,male,"2000-01-01, 1958-07-31",United States of America,Minneapolis
Nick Sharratt,male,1962-01-01,United Kingdom,London
Melissa Müller,female,1967-01-01,Austria,Vienna
Deborah Howe,female,1946-08-12,United States of America,Boston
Carlo Collodi,male,1826-11-24,"Kingdom of Italy, Italy",Florence
Brandon Mull,male,1974-11-08,United States of America,Utah
Glenn Greenwald,male,1967-03-06,United States of America,Queens
Scott McCloud,male,1960-06-10,United States of America,Boston
Sarah Silverman,female,1970-12-01,United States of America,Bedford
Catherine Marshall,female,1914-09-27,United States of America,Johnson City
George Cruikshank,male,"1792-09-27, 1792-08-27",United Kingdom,London
Rebecca Wells,female,1952-01-01,United States of America,Louisiana
Sylvia Raphael,female,1937-04-01,South Africa,Cape Town
Agatha Christie,female,1890-09-15,United Kingdom,Torquay
Jennifer Crusie,female,1949-09-17,United States of America,Wapakoneta
Thrity Umrigar,female,1961-00-00,United States of America,Mumbai
Diane Arbus,female,1923-03-14,United States of America,New York City
Lynn Flewelling,female,"1958-10-20, 1958-01-01",United States of America,Presque Isle
Kate Chopin,female,1850-02-08,United States of America, Louis
Sue Klebold,female,1949-03-25,United States of America,Columbus
Naoko Takeuchi,female,1967-03-15,Japan,Kōfu
Upton Sinclair,male,1878-09-20,United States of America,Baltimore
Jon Meacham,male,1969-05-20,United States of America,Chattanooga
Willem Dafoe,male,1955-07-22,"United States of America, Italy",Appleton
Anna Dewdney,female,1965-12-25,United States of America,New York City
Greg Capullo,male,1962-03-30,United States of America,Schenectady
Steve Martin,male,1945-08-14,United States of America,Waco
Tim Burton,male,1958-08-25,United States of America,Burbank
Jeff VanderMeer,male,1968-07-07,United States of America,Bellefonte
Isaac Asimov,male,1920-00-00,"Russian Socialist Federative Soviet Republic, United States of America, Russian Soviet Federative Socialist Republic",Petrovichi
Jordan Belfort,male,1962-07-09,United States of America,The Bronx
Adolf Hitler,male,"1889-04-20, 1889-01-01","Austria, First Republic of Austria, Nazi Germany",Braunau am Inn
Robert K. Massie,male,1929-01-05,United States of America,Lexington
Stephen Hunter,male,"1946-03-25, 1946-01-01",United States of America,Kansas City
Paul Fussell,male,1924-03-22,United States of America,Pasadena
Mindy Kaling,female,1979-06-24,United States of America,Cambridge
Tasha Tudor,female,1915-08-28,United States of America,Boston
Edwidge Danticat,female,1969-01-19,"United States of America, Haiti","Prince, Haiti"
Joe Abercrombie,male,1974-12-31,United Kingdom,Lancaster
Katherine Paterson,female,1932-10-31,United States of America,an District
Elliot Aronson,male,1932-01-09,United States of America,Chelsea
Hilary Mantel,female,1952-07-06,United Kingdom,Glossop
Christine Feehan,female,2000-01-01,United States of America,Ukiah
Monica Ali,female,1967-10-20,"United Kingdom, Bangladesh, Pakistan",Dhaka
Steven Spielberg,male,1946-12-18,United States of America,Cincinnati
Gary Gianni,male,1954-01-01,United States of America,Chicago
Jack Trout,male,1935-01-31,United States of America,Manhattan
Marcus Aurelius,male,0121-04-26,Ancient Rome,Rome
Guy N. Smith,male,"1939-07-21, 1939-11-21",United Kingdom,Staffordshire
Laini Taylor,female,1971-12-11,United States of America,Chico
Wyatt Cenac,male,1976-04-19,United States of America,New York City
Ernest Hemingway,male,1899-07-21,United States of America,Oak Park
John Stuart Mill,male,1806-05-20,United Kingdom of Great Britain and Ireland,London Borough of Islington
Poppy Z. Brite,transgender male,1967-05-25,United States of America,New Orleans
Ellen Schreiber,female,1967-01-26,United States of America,Cincinnati
Sister Souljah,female,"1964-01-28, 1963-07-25",United States of America,The Bronx
Leonard Mlodinow,male,1954-11-26,United States of America,Chicago
Ozzy Osbourne,male,1948-12-03,United Kingdom,Birmingham
Esi Edugyan,female,1978-00-00,Canada,Calgary
Jonah Lehrer,male,1981-06-25,United States of America,Los Angeles
Christopher Yost,male,1973-02-21,United States of America, Louis
Kathy Griffin,female,1960-11-04,United States of America,Chicago
Norton Juster,male,1929-06-02,United States of America,Brooklyn
Paul Dinello,male,1962-11-28,United States of America,Chicago
Enid Bagnold,female,1889-10-27,"United Kingdom, United Kingdom of Great Britain and Ireland",Rochester
Lauren Myracle,female,1969-05-15,United States of America,Brevard
Alisa Kwitney,female,1964-01-01,United States of America,New York City
Alice Walker,female,1944-02-09,United States of America,Eatonton
Katherine Boo,female,1964-08-12,United States of America,
Norman Mailer,male,1923-01-31,United States of America,Long Branch
Scott Westerfeld,male,1963-05-05,United States of America,Dallas
Alaa Al Aswany,male,1957-05-26,Egypt,Cairo
Quentin Blake,male,1932-12-16,United Kingdom,Sidcup
Alexander Hamilton,male,"1757-01-11, 1755-01-11",United States of America,Charlestown
John Rocco,male,"1967-01-01, 1967-07-09",United States of America,Rhode Island
David Ebershoff,male,"1969-01-01, 1969-01-17",United States of America,Pasadena
Willa Cather,female,1873-12-07,United States of America,Gore
George Carlin,male,1937-05-12,United States of America,New York City
Warren Buffett,male,1930-08-30,United States of America,Omaha
Leon Uris,male,1924-08-03,United States of America,Baltimore
Noah Hawley,male,1967-01-01,United States of America,New York City
Deborah Feldman,female,1986-08-17,"United States of America, Germany",New York City
John Steakley,male,1951-07-26,United States of America,Cleburne
Edward Bloor,male,1950-10-12,United States of America,Trenton
Wilson Rawls,male,1913-09-24,United States of America,Scraper
Ron Rash,male,"1953-09-01, 1953-09-25, 1953-09-21",United States of America,Chester
Joshua Foer,male,1982-09-23,United States of America,
Keri Arthur,female,1953-01-01,Australia,Melbourne
Eloisa James,female,1962-01-01,United States of America,Minnesota
James C. Collins,male,1958-01-25,United States of America,Boulder
Jon Stewart,male,1962-11-28,United States of America,Manhattan
Larissa Ione,female,1982-08-12,United States of America,Oregon
Cate Tiernan,female,1961-07-24,United States of America,New Orleans
William Least Heat-Moon,male,1939-08-27,United States of America,Kansas City
Mark Owen,male,1972-01-27,United Kingdom,Oldham
Terry McMillan,female,1951-10-18,United States of America,Port Huron
Heather O'Neill,female,1973-10-04,Canada,Montreal
Anthony Burgess,male,1917-02-25,United Kingdom,Harpurhey
Elizabeth Strout,female,1956-01-06,United States of America,Portland
Julia Alvarez,female,1950-03-27,"Dominican Republic, United States of America",New York City
Francis Chan,male,1967-08-31,United States of America,Hong Kong
NoViolet Bulawayo,female,1981-10-12,Zimbabwe,Tsholotsho District
Victor Hugo,male,1802-02-26,France,birthhouse of Victor Hugo
Laura Hillenbrand,female,1967-05-15,United States of America,Fairfax
Orhan Pamuk,male,1952-06-07,Turkey,Istanbul
Zilpha Keatley Snyder,female,1927-05-11,United States of America,Lemoore
Lee Strobel,male,1952-01-25,United States of America,Arlington Heights
Beverly Cleary,female,1916-04-12,United States of America,McMinnville
Nora Roberts,female,1950-10-10,United States of America,Silver Spring
Walker Percy,male,1916-05-28,United States of America,Birmingham
Howard Schultz,male,1953-07-19,United States of America,Brooklyn
Catherynne M. Valente,female,1979-05-05,United States of America,Seattle
Ezra Jack Keats,male,1916-03-11,United States of America,Brooklyn
Laline Paull,female,2000-01-01,United Kingdom,London
Gregory David Roberts,male,1952-06-21,Australia,Melbourne
Jay Winik,male,1957-02-08,United States of America,New Haven
Michael York,male,1942-03-27,United Kingdom,Fulmer
Ilon Wikland,female,1930-02-05,"Estonia, Sweden",Tartu
Audrey Niffenegger,female,1963-06-13,United States of America,South Haven
Stuart Hampshire,male,1914-10-01,United Kingdom,Healing
Clement Hurd,male,1908-01-12,United States of America,New York City
Chloe Neill,female,1975-05-17,United States of America,United States of America
Jesse Andrews,male,1982-09-15,United States of America,Pittsburgh
Malcolm Bowie,male,1943-05-05,United Kingdom,Aldeburgh
Pearl Cleage,female,1948-12-07,United States of America,Springfield
Ed Helms,male,1974-01-24,United States of America,Atlanta
Joss Whedon,male,"1964-06-23, 1964-01-23",United States of America,New York City
Guy de Maupassant,male,1850-08-05,France,"Dieppe, Arques"
Tim Tebow,male,1987-08-14,United States of America,Makati
Victoria Aveyard,female,1990-07-27,United States of America,East Longmeadow
Siri Hustvedt,female,1955-02-19,United States of America,Northfield
Po Bronson,male,1964-03-14,United States of America,Seattle
Lew Wallace,male,1827-04-10,United States of America,Brookville
Alan Moore,male,1953-11-18,United Kingdom,Northampton
Michael Cunningham,male,1952-11-06,United States of America,Cincinnati
Cecily von Ziegesar,female,1970-06-27,United States of America,New York City
John Milton,male,1608-12-09,Kingdom of England,Cheapside
Jessica Cox,female,1983-02-02,United States of America,Sierra Vista
Karen Thompson Walker,female,1980-01-01,United States of America,San Diego
Frank De Felitta,male,1921-08-03,United States of America,New York City
Karuho Shiina,female,1975-10-23,Japan,Haboro
William Steig,male,1907-11-14,United States of America,New York City
Charlotte Brontë,female,1816-04-21,United Kingdom of Great Britain and Ireland,Thornton
Amanda Knox,female,1987-07-09,United States of America,Seattle
Kiera Cass,female,1981-05-19,United States of America,Myrtle Beach
Plato,male,"-0427-05-07, -0429-05-21",Classical Athens,Classical Athens
Brandon Sanderson,male,1975-12-19,United States of America,Lincoln
Darren Shan,male,"1972-07-03, 1972-07-02","Ireland, United Kingdom","London, Limerick"
Mireille Guiliano,female,1946-04-14,France,Grande
Tim Harrod,male,1968-05-25,United States of America,Lynnfield
Don Winslow,male,1953-10-31,United States of America,New York City
Matthew Reilly,male,1974-07-02,Australia,Sydney
Doris Kearns Goodwin,female,1943-01-04,United States of America,Brooklyn
Connie Willis,female,1945-12-31,United States of America,Denver
Christopher Hitchens,male,1949-04-13,"United Kingdom, United States of America",Portsmouth
Danielle Trussoni,female,1973-11-09,United States of America,La Crosse
John Tenniel,male,1820-02-28,United Kingdom of Great Britain and Ireland,London
