"author_name","sex_or_gender","date_of_birth","country_of_citizenship","place_of_birth"
"Suzanne Collins","female","1962-08-10","United States of America","Hartford"
"Stephenie Meyer","female","1973-12-24","United States of America","Hartford"
"Harper Lee","female","1926-04-28","United States of America","Monroeville"
"Dan Brown","male","1964-06-22","United States of America","Exeter"
"Jane Austen","female","1775-12-16","Great Britain","Steventon"
"Veronica Roth","female","1988-08-19","United States of America","New York City"
"Anne Frank","female","1929-06-12","","Frankfurt am Main"
"Stieg Larsson","male","1954-08-15","Sweden","Skelleftehamn"
